id,time
71717442,22709
1093853022470365184,2016339
303450744,4173984
845599446259961856,374514
1088498740732747776,4211400
2916713439,373385
235321138,4174929
1172261471264227328,43489511
1240360759944785920,33769222
3702234197,4212462
222503116,1372142
112874615,34920864
78265871,6430255
158838519,1783313
738326833431732225,0
186969945,4179159
36393770,4547609
442815399,3481
831713509163618308,4213389
2894436390,1522783
2582911872,373426
213416209,60429
1665725635,33545338
2841714842,4213074
134036743,41005000
2828483761,373352
